"","","","/表章項目","転入超過数【人】","転入超過数【人】","転入超過数【人】","転入超過数【人】","転入超過数【人】","転入超過数【人】","転入超過数【人】","転入超過数【人】","転入超過数【人】"
"","","","/性別","総数","総数","総数","男","男","男","女","女","女"
"国籍","時間軸（年次）","地域","/年齢","15～19歳","20～24歳","25～29歳","15～19歳","20～24歳","25～29歳","15～19歳","20～24歳","25～29歳"
"日本人移動者","2021年","東白川郡","","-62","-74","-17","-38","-30","-9","-24","-44","-8"
"日本人移動者","2021年","石川郡","","-38","-122","-55","-6","-69","-28","-32","-53","-27"
"日本人移動者","2021年","田村郡","","-36","-91","-46","-13","-33","-15","-23","-58","-31"
"日本人移動者","2021年","双葉郡","","-89","-120","-69","-49","-29","-16","-40","-91","-53"
"日本人移動者","2021年","相馬郡","","-22","-55","-28","-16","-23","-10","-6","-32","-18"
"日本人移動者","2021年","茨城県市部","","-560","-2,543","-338","-187","-794","-200","-373","-1,749","-138"
"日本人移動者","2021年","茨城県郡部","","-150","-506","-112","-63","-222","-29","-87","-284","-83"
"日本人移動者","2021年","水戸市","","-33","168","192","-30","123","61","-3","45","131"
"日本人移動者","2021年","日立市","","-124","-355","-190","-44","-121","-144","-80","-234","-46"
"日本人移動者","2021年","土浦市","","34","75","84","-1","67","85","35","8","-1"
"日本人移動者","2021年","古河市","","35","-103","-59","20","-58","-25","15","-45","-34"
"日本人移動者","2021年","石岡市","","-31","-107","-124","-24","-48","-67","-7","-59","-57"
"日本人移動者","2021年","結城市","","-21","-78","-28","-16","-9","3","-5","-69","-31"
"日本人移動者","2021年","龍ケ崎市","","99","-175","-68","102","-88","-53","-3","-87","-15"
"日本人移動者","2021年","下妻市","","-51","-87","5","-24","-26","17","-27","-61","-12"
"日本人移動者","2021年","常総市","","-47","-32","-50","-36","-5","-32","-11","-27","-18"
"日本人移動者","2021年","常陸太田市","","-51","-180","-73","-30","-81","-30","-21","-99","-43"
"日本人移動者","2021年","高萩市","","-41","-62","-28","-28","-8","-14","-13","-54","-14"
"日本人移動者","2021年","北茨城市","","-58","-152","-55","-26","-70","-32","-32","-82","-23"
"日本人移動者","2021年","笠間市","","-45","-139","-45","-22","-51","-36","-23","-88","-9"
"日本人移動者","2021年","取手市","","-2","-95","-84","0","-54","-37","-2","-41","-47"
"日本人移動者","2021年","牛久市","","-7","-78","-54","0","-14","-2","-7","-64","-52"
"日本人移動者","2021年","つくば市","","470","285","613","305","212","346","165","73","267"
"日本人移動者","2021年","ひたちなか市","","-138","-166","-19","-77","-24","-17","-61","-142","-2"
"日本人移動者","2021年","鹿嶋市","","-30","-163","-67","1","-74","-63","-31","-89","-4"
"日本人移動者","2021年","潮来市","","-18","-73","-1","-13","-28","-1","-5","-45","0"
"日本人移動者","2021年","守谷市","","-8","-125","30","-5","-66","31","-3","-59","-1"
"日本人移動者","2021年","常陸大宮市","","-49","-101","-53","-31","-52","-33","-18","-49","-20"
"日本人移動者","2021年","那珂市","","-37","-85","15","-19","-29","2","-18","-56","13"
"日本人移動者","2021年","筑西市","","-72","-162","-32","-45","-76","-18","-27","-86","-14"
"日本人移動者","2021年","坂東市","","-28","-80","-45","-22","-34","-17","-6","-46","-28"
"日本人移動者","2021年","稲敷市","","-60","-115","-62","-35","-68","-25","-25","-47","-37"
"日本人移動者","2021年","かすみがうら市","","-21","-52","-86","12","-2","-74","-33","-50","-12"
"日本人移動者","2021年","桜川市","","-39","-153","-62","-16","-73","-27","-23","-80","-35"
"日本人移動者","2021年","神栖市","","-70","84","51","-20","90","16","-50","-6","35"
"日本人移動者","2021年","行方市","","-40","-77","-50","-26","-31","-23","-14","-46","-27"
"日本人移動者","2021年","鉾田市","","-53","-95","-64","-27","-27","-19","-26","-68","-45"
"日本人移動者","2021年","つくばみらい市","","-13","12","101","-12","-8","60","-1","20","41"
"日本人移動者","2021年","小美玉市","","-11","-77","-30","2","-61","-32","-13","-16","2"
"日本人移動者","2021年","東茨城郡","","-65","-206","-66","-30","-107","-19","-35","-99","-47"
"日本人移動者","2021年","那珂郡","","-42","-1","34","-28","20","21","-14","-21","13"
"日本人移動者","2021年","久慈郡","","-31","-49","-23","-18","-15","-4","-13","-34","-19"
"日本人移動者","2021年","稲敷郡","","-3","-62","26","-5","-21","11","2","-41","15"
"日本人移動者","2021年","結城郡","","-20","-66","-42","-12","-28","-24","-8","-38","-18"
"日本人移動者","2021年","猿島郡","","-23","-85","-21","-6","-48","-3","-17","-37","-18"
"日本人移動者","2021年","北相馬郡","","34","-37","-20","36","-23","-11","-2","-14","-9"
"日本人移動者","2021年","栃木県市部","","-326","-1,088","111","-237","-277","89","-89","-811","22"
"日本人移動者","2021年","栃木県郡部","","-125","-293","-239","-65","-67","-171","-60","-226","-68"
"日本人移動者","2021年","宇都宮市","","-107","182","293","-44","228","80","-63","-46","213"
"日本人移動者","2021年","足利市","","-52","-215","-77","-35","-68","-40","-17","-147","-37"
"日本人移動者","2021年","栃木市","","-39","-223","-55","-12","-101","20","-27","-122","-75"
"日本人移動者","2021年","佐野市","","-74","-200","-33","-34","-62","-30","-40","-138","-3"
"日本人移動者","2021年","鹿沼市","","-103","-127","8","-45","-44","21","-58","-83","-13"
"日本人移動者","2021年","日光市","","-71","-149","-156","-50","-80","-68","-21","-69","-88"
"日本人移動者","2021年","小山市","","3","-67","170","1","-31","121","2","-36","49"
"日本人移動者","2021年","真岡市","","-62","36","38","-16","33","28","-46","3","10"
"日本人移動者","2021年","大田原市","","311","-49","-35","85","-37","0","226","-12","-35"
"日本人移動者","2021年","矢板市","","-19","-73","-47","-6","-22","-20","-13","-51","-27"
"日本人移動者","2021年","那須塩原市","","-110","-8","70","-66","-31","57","-44","23","13"
"日本人移動者","2021年","さくら市","","-60","-81","-18","-30","-35","-40","-30","-46","22"
"日本人移動者","2021年","那須烏山市","","-32","-71","-33","-21","-27","-17","-11","-44","-16"
"日本人移動者","2021年","下野市","","89","-43","-14","36","0","-23","53","-43","9"
"日本人移動者","2021年","河内郡","","-3","-50","-4","-1","-24","-12","-2","-26","8"
"日本人移動者","2021年","芳賀郡","","-85","-139","-33","-49","-60","-24","-36","-79","-9"
"日本人移動者","2021年","下都賀郡","","8","-58","-56","-14","-26","-26","22","-32","-30"
"日本人移動者","2021年","塩谷郡","","-1","61","-71","20","94","-54","-21","-33","-17"
"日本人移動者","2021年","那須郡","","-44","-107","-75","-21","-51","-55","-23","-56","-20"
"日本人移動者","2021年","群馬県市部","","-135","-2,297","-293","-18","-1,001","-193","-117","-1,296","-100"
"日本人移動者","2021年","群馬県郡部","","-80","-630","-231","-27","-290","-191","-53","-340","-40"
"日本人移動者","2021年","前橋市","","10","-264","59","11","-129","36","-1","-135","23"
"日本人移動者","2021年","高崎市","","218","-616","153","109","-299","54","109","-317","99"
"日本人移動者","2021年","桐生市","","-49","-341","-123","-24","-174","-78","-25","-167","-45"
"日本人移動者","2021年","伊勢崎市","","14","-190","12","50","-119","32","-36","-71","-20"
"日本人移動者","2021年","太田市","","-65","-118","-62","-7","15","-92","-58","-133","30"
"日本人移動者","2021年","沼田市","","-26","-122","-47","-11","-42","-14","-15","-80","-33"
"日本人移動者","2021年","館林市","","-30","-70","-57","-20","-7","-43","-10","-63","-14"
"日本人移動者","2021年","渋川市","","-39","-170","-67","-28","-93","-22","-11","-77","-45"
"日本人移動者","2021年","藤岡市","","-37","-98","-12","-18","-24","6","-19","-74","-18"
"日本人移動者","2021年","富岡市","","-50","-123","-71","-27","-51","-37","-23","-72","-34"
"日本人移動者","2021年","安中市","","-41","-120","-62","-22","-62","-37","-19","-58","-25"
"日本人移動者","2021年","みどり市","","-40","-65","-16","-31","-16","2","-9","-49","-18"
"日本人移動者","2021年","北群馬郡","","4","4","86","22","3","27","-18","1","59"
"日本人移動者","2021年","多野郡","","-4","6","-3","-3","5","-3","-1","1","0"
"日本人移動者","2021年","甘楽郡","","-19","-66","-34","-4","-26","-21","-15","-40","-13"
"日本人移動者","2021年","吾妻郡","","-52","-126","-83","-43","-59","-63","-9","-67","-20"
"日本人移動者","2021年","利根郡","","-41","-147","-55","-24","-68","-42","-17","-79","-13"
"日本人移動者","2021年","佐波郡","","24","-105","-27","-7","-33","-20","31","-72","-7"
"日本人移動者","2021年","邑楽郡","","8","-196","-115","32","-112","-69","-24","-84","-46"
"日本人移動者","2021年","埼玉県市部","","2,416","4,503","2,838","1,017","1,633","1,622","1,399","2,870","1,216"
"日本人移動者","2021年","埼玉県郡部","","-19","-983","-409","14","-504","-135","-33","-479","-274"
"日本人移動者","2021年","さいたま市","","542","2,090","1,754","270","826","849","272","1,264","905"
"日本人移動者","2021年","川越市","","260","213","174","155","17","110","105","196","64"
"日本人移動者","2021年","熊谷市","","-13","-283","-229","-4","-213","-168","-9","-70","-61"
