"","","/都市間移動者数・その他","転入超過数","転入超過数","転入超過数","転入超過数","転入超過数","転入超過数","転入超過数","転入超過数","転入超過数"
"","","/性別","総数","総数","総数","男","男","男","女","女","女"
"国籍","全国・都道府県・市区町村2018～","/年齢","15～19歳","20～24歳","25～29歳","15～19歳","20～24歳","25～29歳","15～19歳","20～24歳","25～29歳"
"日本人移動者","太田市","","-42","-218","77","4","-85","9","-46","-133","68"
"日本人移動者","沼田市","","-65","-136","-43","-38","-84","-26","-27","-52","-17"
"日本人移動者","館林市","","-16","-127","-20","-14","-30","-10","-2","-97","-10"
"日本人移動者","渋川市","","-80","-182","-118","-30","-76","-62","-50","-106","-56"
"日本人移動者","藤岡市","","-21","-130","-66","-13","-36","-33","-8","-94","-33"
"日本人移動者","富岡市","","-30","-114","-87","-22","-52","-32","-8","-62","-55"
"日本人移動者","安中市","","-54","-171","-91","-21","-70","-48","-33","-101","-43"
"日本人移動者","みどり市","","-49","-117","-66","-18","-48","-18","-31","-69","-48"
"日本人移動者","北群馬郡","","10","-37","10","8","-24","2","2","-13","8"
"日本人移動者","多野郡","","-5","-1","-3","-3","2","-2","-2","-3","-1"
"日本人移動者","甘楽郡","","-12","-82","-60","-11","-43","-32","-1","-39","-28"
"日本人移動者","吾妻郡","","-68","-174","-96","-45","-72","-42","-23","-102","-54"
"日本人移動者","利根郡","","-33","-153","-52","-11","-70","-32","-22","-83","-20"
"日本人移動者","佐波郡","","29","-152","-25","-13","-80","5","42","-72","-30"
"日本人移動者","邑楽郡","","13","-145","-177","32","-37","-118","-19","-108","-59"
"日本人移動者","埼玉県市部","","2,593","4,230","1,484","1,297","1,472","1,073","1,296","2,758","411"
"日本人移動者","埼玉県郡部","","-20","-957","-596","-3","-487","-233","-17","-470","-363"
"日本人移動者","さいたま市","","772","2,087","1,397","429","829","586","343","1,258","811"
"日本人移動者","川越市","","257","272","61","128","123","127","129","149","-66"
"日本人移動者","熊谷市","","-10","-262","-172","18","-107","-74","-28","-155","-98"
"日本人移動者","川口市","","138","1,135","609","74","533","257","64","602","352"
"日本人移動者","行田市","","-20","-142","-126","-20","-96","-80","0","-46","-46"
"日本人移動者","秩父市","","-58","-191","-87","-32","-85","-29","-26","-106","-58"
"日本人移動者","所沢市","","333","154","-35","114","11","-39","219","143","4"
"日本人移動者","飯能市","","61","-216","-115","22","-109","-54","39","-107","-61"
"日本人移動者","加須市","","-22","-193","-118","-15","-87","-37","-7","-106","-81"
"日本人移動者","本庄市","","-44","-107","-52","-26","-28","-30","-18","-79","-22"
"日本人移動者","東松山市","","87","-87","-78","46","-47","-49","41","-40","-29"
"日本人移動者","春日部市","","3","-167","-188","-3","-96","-87","6","-71","-101"
"日本人移動者","狭山市","","62","-131","-200","45","-77","-93","17","-54","-107"
"日本人移動者","羽生市","","-23","-55","-13","-14","-16","-9","-9","-39","-4"
"日本人移動者","鴻巣市","","32","-141","-83","20","-53","-17","12","-88","-66"
"日本人移動者","深谷市","","-11","-270","-18","-1","-115","30","-10","-155","-48"
"日本人移動者","上尾市","","7","46","-113","-16","-27","4","23","73","-117"
"日本人移動者","草加市","","155","416","-148","82","172","-39","73","244","-109"
"日本人移動者","越谷市","","104","510","99","10","208","85","94","302","14"
"日本人移動者","蕨市","","49","344","109","27","171","54","22","173","55"
"日本人移動者","戸田市","","103","457","-8","61","203","44","42","254","-52"
"日本人移動者","入間市","","-14","-252","-99","-23","-140","-3","9","-112","-96"
"日本人移動者","朝霞市","","147","452","148","71","221","51","76","231","97"
"日本人移動者","志木市","","-1","135","22","-9","72","53","8","63","-31"
"日本人移動者","和光市","","156","503","281","109","228","144","47","275","137"
"日本人移動者","新座市","","64","20","-43","17","-22","20","47","42","-63"
