year,place,total_15_19,total_20_24,total_25_29,m_15_19,m_20_24,m_25_29,f_15_19,f_20_24,f_25_29,city_county
2016,龍ケ崎市,20.0,-236.0,-123.0,46.0,-125.0,-79.0,-26.0,-111.0,-44.0,city
2016,下妻市,-49.0,-8.0,-61.0,-26.0,23.0,-9.0,-23.0,-31.0,-52.0,city
2016,常総市,-32.0,-96.0,-76.0,-12.0,-50.0,-23.0,-20.0,-46.0,-53.0,city
2016,常陸太田市,-73.0,-204.0,-57.0,-43.0,-93.0,-27.0,-30.0,-111.0,-30.0,city
2016,高萩市,-45.0,-48.0,-73.0,-31.0,4.0,-39.0,-14.0,-52.0,-34.0,city
2016,北茨城市,-47.0,-114.0,-25.0,-32.0,-53.0,-7.0,-15.0,-61.0,-18.0,city
2016,笠間市,-72.0,-155.0,-84.0,-47.0,-61.0,-35.0,-25.0,-94.0,-49.0,city
2016,取手市,-14.0,-110.0,-58.0,-16.0,-70.0,-42.0,2.0,-40.0,-16.0,city
2016,牛久市,34.0,-14.0,-41.0,29.0,5.0,6.0,5.0,-19.0,-47.0,city
2016,つくば市,466.0,-293.0,221.0,252.0,-172.0,81.0,214.0,-121.0,140.0,city
2016,ひたちなか市,-107.0,-87.0,242.0,-50.0,28.0,124.0,-57.0,-115.0,118.0,city
2016,鹿嶋市,38.0,-64.0,-29.0,37.0,-19.0,-32.0,1.0,-45.0,3.0,city
2016,潮来市,-23.0,-64.0,-2.0,-3.0,-18.0,-6.0,-20.0,-46.0,4.0,city
2016,守谷市,-7.0,-57.0,136.0,8.0,-31.0,95.0,-15.0,-26.0,41.0,city
2016,常陸大宮市,-44.0,-106.0,-56.0,-27.0,-45.0,-23.0,-17.0,-61.0,-33.0,city
2016,那珂市,-41.0,-70.0,50.0,-30.0,-36.0,17.0,-11.0,-34.0,33.0,city
2016,筑西市,-64.0,-170.0,-149.0,-43.0,-59.0,-66.0,-21.0,-111.0,-83.0,city
2016,坂東市,-12.0,-133.0,-49.0,-8.0,-58.0,-29.0,-4.0,-75.0,-20.0,city
2016,稲敷市,-38.0,-144.0,-68.0,-9.0,-84.0,-37.0,-29.0,-60.0,-31.0,city
2016,かすみがうら市,-18.0,-11.0,-50.0,-23.0,-9.0,-23.0,5.0,-2.0,-27.0,city
2016,桜川市,-38.0,-138.0,-68.0,-16.0,-81.0,-45.0,-22.0,-57.0,-23.0,city
2016,神栖市,-36.0,22.0,127.0,-6.0,57.0,69.0,-30.0,-35.0,58.0,city
2016,行方市,-40.0,-67.0,-59.0,-26.0,-22.0,-36.0,-14.0,-45.0,-23.0,city
2016,鉾田市,-50.0,-103.0,-65.0,-31.0,-51.0,-23.0,-19.0,-52.0,-42.0,city
2016,つくばみらい市,3.0,9.0,63.0,-2.0,16.0,38.0,5.0,-7.0,25.0,city
2016,小美玉市,-8.0,-70.0,-74.0,14.0,-31.0,-50.0,-22.0,-39.0,-24.0,city
2016,東茨城郡,16.0,-185.0,-101.0,23.0,-100.0,-56.0,-7.0,-85.0,-45.0,county
2016,那珂郡,-27.0,-29.0,-26.0,-20.0,9.0,-11.0,-7.0,-38.0,-15.0,county
2016,久慈郡,-35.0,-62.0,-33.0,-23.0,-33.0,-20.0,-12.0,-29.0,-13.0,county
2016,稲敷郡,-3.0,-157.0,-56.0,-6.0,-64.0,-14.0,3.0,-93.0,-42.0,county
2016,結城郡,-22.0,-54.0,-50.0,-11.0,-22.0,-19.0,-11.0,-32.0,-31.0,county
2016,猿島郡,-6.0,-43.0,-42.0,2.0,-8.0,-14.0,-8.0,-35.0,-28.0,county
2016,北相馬郡,-16.0,-30.0,-30.0,-9.0,-17.0,-3.0,-7.0,-13.0,-27.0,county
2016,宇都宮市,-1.0,235.0,304.0,36.0,338.0,96.0,-37.0,-103.0,208.0,city
2016,足利市,-67.0,-197.0,-127.0,-34.0,-59.0,-73.0,-33.0,-138.0,-54.0,city
2016,栃木市,-63.0,-223.0,-99.0,-28.0,-77.0,-61.0,-35.0,-146.0,-38.0,city
2016,佐野市,-49.0,-150.0,-39.0,-25.0,-66.0,-12.0,-24.0,-84.0,-27.0,city
2016,鹿沼市,-54.0,-198.0,-36.0,-30.0,-95.0,-21.0,-24.0,-103.0,-15.0,city
2016,日光市,-62.0,-170.0,-75.0,-42.0,-82.0,-34.0,-20.0,-88.0,-41.0,city
2016,小山市,25.0,-98.0,66.0,13.0,-45.0,32.0,12.0,-53.0,34.0,city
2016,真岡市,-45.0,-72.0,110.0,-29.0,-38.0,54.0,-16.0,-34.0,56.0,city
2016,大田原市,-33.0,-126.0,-36.0,-26.0,-68.0,-22.0,-7.0,-58.0,-14.0,city
2016,矢板市,-29.0,-58.0,-33.0,-23.0,-9.0,-11.0,-6.0,-49.0,-22.0,city
2016,那須塩原市,-123.0,-75.0,-8.0,-49.0,0.0,32.0,-74.0,-75.0,-40.0,city
2016,さくら市,-11.0,-28.0,26.0,-7.0,-20.0,8.0,-4.0,-8.0,18.0,city
2016,那須烏山市,-41.0,-77.0,-45.0,-21.0,-34.0,-19.0,-20.0,-43.0,-26.0,city
2016,下野市,87.0,-112.0,-13.0,33.0,-65.0,-11.0,54.0,-47.0,-2.0,city
2016,河内郡,-7.0,-33.0,13.0,6.0,-14.0,14.0,-13.0,-19.0,-1.0,county
2016,芳賀郡,-65.0,-116.0,-113.0,-21.0,-37.0,-52.0,-44.0,-79.0,-61.0,county
2016,下都賀郡,-30.0,-73.0,-3.0,-15.0,-40.0,17.0,-15.0,-33.0,-20.0,county
2016,塩谷郡,-33.0,15.0,-99.0,-11.0,48.0,-68.0,-22.0,-33.0,-31.0,county
2016,那須郡,-49.0,-116.0,-67.0,-18.0,-62.0,-32.0,-31.0,-54.0,-35.0,county
2016,前橋市,-35.0,-285.0,-145.0,-8.0,-122.0,-102.0,-27.0,-163.0,-43.0,city
2016,高崎市,242.0,-575.0,176.0,161.0,-335.0,96.0,81.0,-240.0,80.0,city
2016,桐生市,-50.0,-273.0,-140.0,-27.0,-124.0,-80.0,-23.0,-149.0,-60.0,city
